id,firstName,lastName,age,phone,balance,eyeColor,favoriteFruit,isActive,latitude,longitude,registered
5bacfee08134d4646fd8741e,Ollie,Molina,34,"+1 (936) 438-3595","$1,077.29",blue,banana,1,27.168643,78.60084,"Sunday, October 4, 2015 7:16 PM"
5bacfee1ebb6e18749ca9c3c,Vance,Le,30,"+1 (929) 568-2093","$1,937.59",blue,pear,1,32.065845,142.185785,"Sunday, April 17, 2016 6:07 PM"
5bacfee1c3639b168d814237,Barry,Jimenez,38,"+1 (984) 423-3034","$3,697.39",brown,apple,0,16.979361,89.915774,"Monday, February 9, 2015 8:54 AM"
5bacfee1162cc4055b6fd810,Whitaker,Gill,40,"+1 (845) 494-2235","$2,174.27",brown,pear,1,-75.177066,-149.434758,"Thursday, June 11, 2015 2:31 PM"
5bacfee19831aea0643ddb96,Mcfadden,Pennington,20,"+1 (876) 436-2499","$2,493.41",brown,apple,0,67.211107,168.920175,"Tuesday, April 7, 2015 4:26 AM"
5bacfee1e32fc6e8f65c805e,Deloris,Charles,25,"+1 (925) 524-3773","$3,221.50",blue,pear,0,47.146024,-48.160715,"Wednesday, December 23, 2015 5:37 PM"
5bacfee1bc88b9b445deca55,Elva,Palmer,40,"+1 (842) 593-2977","$1,558.97",green,pear,1,68.948356,136.642013,"Sunday, February 19, 2017 8:57 AM"
5bacfee18c9d3ecbd106c102,Carrie,Stuart,31,"+1 (924) 568-2105","$2,145.46",brown,strawberry,1,27.599061,44.040932,"Saturday, November 1, 2014 12:12 AM"
5bacfee12639386f0953b3df,Mayer,Hull,23,"+1 (908) 509-3710","$3,439.80",brown,banana,0,-73.515847,149.571285,"Sunday, April 30, 2017 11:22 AM"
5bacfee1fef364626c25c9ff,Isabel,Frost,36,"+1 (845) 559-3416","$2,872.71",green,strawberry,1,30.712382,109.588313,"Sunday, December 18, 2016 2:56 PM"
5bacfee19bb3a5ebb649965c,Stark,Mann,27,"+1 (909) 464-2145","$1,681.51",brown,pear,0,83.501764,175.247711,"Saturday, July 25, 2015 1:41 AM"
5bacfee1db7bdaa95369c66b,Autumn,Roman,40,"+1 (913) 522-3545","$2,727.91",green,banana,0,23.438074,114.961302,"Monday, July 14, 2014 5:22 PM"
5bacfee1cb056862315bc6f2,Nellie,Donaldson,36,"+1 (870) 590-3591","$1,800.98",green,banana,1,5.995259,165.832892,"Wednesday, January 22, 2014 12:38 PM"
5bacfee1ddd32f28f92b102c,Elizabeth,Hays,20,"+1 (845) 504-3074","$3,266.34",green,strawberry,1,-42.360999,-71.907995,"Saturday, January 24, 2015 12:44 AM"
5bacfee1ae07ac306fb30c60,Lynnette,Michael,23,"+1 (837) 489-2141","$2,747.00",brown,apple,0,84.035968,61.69863,"Wednesday, August 1, 2018 4:02 AM"
5bacfee1a08fcf0f44c1a4d6,Nguyen,Boyd,33,"+1 (984) 460-3804","$3,581.30",brown,apple,1,-53.603734,-137.752634,"Monday, July 14, 2014 12:03 AM"
5bacfee15bc7ccc13c33a530,Britney,Shepherd,29,"+1 (838) 450-2054","$1,135.24",green,pear,1,3.048274,82.118413,"Thursday, March 3, 2016 4:13 PM"
5bacfee17af0751852ff9ecc,LEA,MARSH,30,"+1 (996) 508-3986","$1,670.22",GREEN,pear,0,-26.970452,99.768199,"Monday, January 12, 2015 7:07 PM"
5bacfee142a454f806f3e0c8,ORA,BECK,32,"+1 (865) 478-3776","$1,033.21",BROWN,BANANA,1,-36.235635,-68.16712,"Monday, July 7, 2014 1:19 AM"
5bacfee1ff3b1a3c8cf1d5eb,HOOVER,OLSEN,25,"+1 (913) 489-2935","$3,976.25",BROWN,apple,1,-78.691136,35.352737,"Saturday, October 17, 2015 6:46 AM"
